ZeroLevelPlot,Point1 Latitude,Point1 Longitude,Point1 Name,Point2 Latitude,Point2 Longitude,Point2 Name,Point3 Latitude,Point3 Longitude,Point3 Name
ZL0000,11.002068875882083,76.96103442248916,DC000,11.009484153714254,76.9652989142874,FC0000,11.001964332042773,76.96934555291331,FC0001
ZL0001,11.002068875882083,76.96103442248916,DC000,11.001964332042773,76.96934555291331,FC0001,10.99454910455417,76.96508086544598,FC0002
ZL0002,11.002068875882083,76.96103442248916,DC000,10.99454910455417,76.96508086544598,FC0002,10.994653891507841,76.95677034823329,FC0003
ZL0003,11.002068875882083,76.96103442248916,DC000,10.994653891507841,76.95677034823329,FC0003,11.002173183711689,76.95272409645456,FC0004
ZL0004,11.002068875882083,76.96103442248916,DC000,11.002173183711689,76.95272409645456,FC0004,11.009588218415677,76.95698797497246,FC0005
ZL0005,11.002068875882083,76.96103442248916,DC000,11.009588218415677,76.95698797497246,FC0005,11.009484153714254,76.9652989142874,FC0000
ZL0006,11.017107131819534,76.9529415229362,DC006,11.017003546361217,76.9612522710586,FC0006,11.009588218415677,76.95698797497246,FC0005
ZL0007,11.017003546361217,76.9612522710586,FC0006,11.009588218415677,76.95698797497246,FC0005,11.009484153714254,76.9652989142874,FC0000
ZL0008,11.017003546361217,76.9612522710586,FC0006,11.016899724649369,76.96956382364206,DC001,11.009484153714254,76.9652989142874,FC0000
ZL0009,11.016899724649369,76.96956382364206,DC001,11.0093798528507,76.97361065791114,FC0007,11.009484153714254,76.9652989142874,FC0000
ZL0010,11.0093798528507,76.97361065791114,FC0007,11.009484153714254,76.9652989142874,FC0000,11.001964332042773,76.96934555291331,FC0001
ZL0011,11.0093798528507,76.97361065791114,FC0007,11.00185955213281,76.97765748749396,DC002,11.001964332042773,76.96934555291331,FC0001
ZL0012,11.00185955213281,76.97765748749396,DC002,10.994444081682245,76.97339218689595,FC0008,11.001964332042773,76.96934555291331,FC0001
ZL0013,10.994444081682245,76.97339218689595,FC0008,11.001964332042773,76.96934555291331,FC0001,10.99454910455417,76.96508086544598,FC0002
ZL0014,10.994444081682245,76.97339218689595,FC0008,10.987028904767405,76.9691273038025,DC003,10.99454910455417,76.96508086544598,FC0002
ZL0015,10.987028904767405,76.9691273038025,DC003,10.987134170739813,76.96081659549509,FC0009,10.99454910455417,76.96508086544598,FC0002
ZL0016,10.987134170739813,76.96081659549509,FC0009,10.99454910455417,76.96508086544598,FC0002,10.994653891507841,76.95677034823329,FC0003
ZL0017,10.987134170739813,76.96081659549509,FC0009,10.98723920094635,76.95250669150568,DC004,10.994653891507841,76.95677034823329,FC0003
ZL0018,10.98723920094635,76.95250669150568,DC004,10.994758442604168,76.94846063549082,FC0010,10.994653891507841,76.95677034823329,FC0003
ZL0019,10.994758442604168,76.94846063549082,FC0010,10.994653891507841,76.95677034823329,FC0003,11.002173183711689,76.95272409645456,FC0004
ZL0020,10.994758442604168,76.94846063549082,FC0010,11.002277255592553,76.94441457504232,DC005,11.002173183711689,76.95272409645456,FC0004
ZL0021,11.002277255592553,76.94441457504232,DC005,11.009692047015992,76.94867784019927,FC0011,11.002173183711689,76.95272409645456,FC0004
ZL0022,11.009692047015992,76.94867784019927,FC0011,11.002173183711689,76.95272409645456,FC0004,11.009588218415677,76.95698797497246,FC0005
ZL0023,11.009692047015992,76.94867784019927,FC0011,11.017107131819534,76.9529415229362,DC006,11.009588218415677,76.95698797497246,FC0005
ZL0024,11.024625615758364,76.94889506642073,FC0029,11.024522509648289,76.95720562326724,FC0012,11.017107131819534,76.9529415229362,DC006
ZL0025,11.024522509648289,76.95720562326724,FC0012,11.017107131819534,76.9529415229362,DC006,11.017003546361217,76.9612522710586,FC0006
ZL0026,11.024522509648289,76.95720562326724,FC0012,11.024419167193338,76.96551698472707,FC0013,11.017003546361217,76.9612522710586,FC0006
ZL0027,11.024419167193338,76.96551698472707,FC0013,11.017003546361217,76.9612522710586,FC0006,11.016899724649369,76.96956382364206,DC001
ZL0028,11.024419167193338,76.96551698472707,FC0013,11.024315588332357,76.97382915056718,FC0014,11.016899724649369,76.96956382364206,DC001
ZL0029,11.024315588332357,76.97382915056718,FC0014,11.01679566662291,76.97787618045352,FC0015,11.016899724649369,76.96956382364206,DC001
ZL0030,11.01679566662291,76.97787618045352,FC0015,11.016899724649369,76.96956382364206,DC001,11.0093798528507,76.97361065791114,FC0007
ZL0031,11.01679566662291,76.97787618045352,FC0015,11.009275315764043,76.98192320561057,FC0016,11.0093798528507,76.97361065791114,FC0007
ZL0032,11.009275315764043,76.98192320561057,FC0016,11.0093798528507,76.97361065791114,FC0007,11.00185955213281,76.97765748749396,DC002
ZL0033,11.009275315764043,76.98192320561057,FC0016,11.001754536091262,76.98597022599795,FC0017,11.00185955213281,76.97765748749396,DC002
ZL0034,11.001754536091262,76.98597022599795,FC0017,10.99433882283123,76.98170431235015,FC0018,11.00185955213281,76.97765748749396,DC002
ZL0035,10.99433882283123,76.98170431235015,FC0018,11.00185955213281,76.97765748749396,DC002,10.994444081682245,76.97339218689595,FC0008
ZL0036,10.99433882283123,76.98170431235015,FC0018,10.986923402968293,76.97743881619498,FC0019,10.994444081682245,76.97339218689595,FC0008
ZL0037,10.986923402968293,76.97743881619498,FC0019,10.994444081682245,76.97339218689595,FC0008,10.987028904767405,76.9691273038025,DC003
ZL0038,10.986923402968293,76.97743881619498,FC0019,10.979508276857423,76.97317373751841,FC0020,10.987028904767405,76.9691273038025,DC003
ZL0039,10.979508276857423,76.97317373751841,FC0020,10.979614021743181,76.96486283819956,FC0021,10.987028904767405,76.9691273038025,DC003
ZL0040,10.979614021743181,76.96486283819956,FC0021,10.987028904767405,76.9691273038025,DC003,10.987134170739813,76.96081659549509,FC0009
ZL0041,10.979614021743181,76.96486283819956,FC0021,10.979719530954577,76.95655274304656,FC0022,10.987134170739813,76.96081659549509,FC0009
ZL0042,10.979719530954577,76.95655274304656,FC0022,10.987134170739813,76.96081659549509,FC0009,10.98723920094635,76.95250669150568,DC004
ZL0043,10.979719530954577,76.95655274304656,FC0022,10.979824804552381,76.94824345229217,FC0023,10.98723920094635,76.95250669150568,DC004
ZL0044,10.979824804552381,76.94824345229217,FC0023,10.987343995447835,76.94419759206704,FC0024,10.98723920094635,76.95250669150568,DC004
ZL0045,10.987343995447835,76.94419759206704,FC0024,10.98723920094635,76.95250669150568,DC004,10.994758442604168,76.94846063549082,FC0010
ZL0046,10.987343995447835,76.94419759206704,FC0024,10.994862757904041,76.94015172745125,FC0025,10.994758442604168,76.94846063549082,FC0010
ZL0047,10.994862757904041,76.94015172745125,FC0025,10.994758442604168,76.94846063549082,FC0010,11.002277255592553,76.94441457504232,DC005
ZL0048,10.994862757904041,76.94015172745125,FC0025,11.002381091585649,76.9361058584851,FC0026,11.002277255592553,76.94441457504232,DC005
ZL0049,11.002381091585649,76.9361058584851,FC0026,11.009795639576213,76.94036851020056,FC0027,11.002277255592553,76.94441457504232,DC005
ZL0050,11.009795639576213,76.94036851020056,FC0027,11.002277255592553,76.94441457504232,DC005,11.009692047015992,76.94867784019927,FC0011
ZL0051,11.009795639576213,76.94036851020056,FC0027,11.0172104810854,76.94463157950773,FC0028,11.009692047015992,76.94867784019927,FC0011
ZL0052,11.0172104810854,76.94463157950773,FC0028,11.009692047015992,76.94867784019927,FC0011,11.017107131819534,76.9529415229362,DC006
ZL0053,11.0172104810854,76.94463157950773,FC0028,11.024625615758364,76.94889506642073,FC0029,11.017107131819534,76.9529415229362,DC006
ZL0054,11.032143669897021,76.94484860546645,DC018,11.032041043240222,76.95315897095374,FC0030,11.024625615758364,76.94889506642073,FC0029
ZL0055,11.032041043240222,76.95315897095374,FC0030,11.024625615758364,76.94889506642073,FC0029,11.024522509648289,76.95720562326724,FC0012
ZL0056,11.032041043240222,76.95315897095374,FC0030,11.031938180147264,76.96147014120655,DC007,11.024522509648289,76.95720562326724,FC0012
ZL0057,11.031938180147264,76.96147014120655,DC007,11.024522509648289,76.95720562326724,FC0012,11.024419167193338,76.96551698472707,FC0013
ZL0058,11.031938180147264,76.96147014120655,DC007,11.031835080556952,76.96978211599195,FC0031,11.024419167193338,76.96551698472707,FC0013
ZL0059,11.031835080556952,76.96978211599195,FC0031,11.024419167193338,76.96551698472707,FC0013,11.024315588332357,76.97382915056718,FC0014
ZL0060,11.031835080556952,76.96978211599195,FC0031,11.031731744408075,76.97809489507685,DC008,11.024315588332357,76.97382915056718,FC0014
ZL0061,11.031731744408075,76.97809489507685,DC008,11.024211773004248,76.98214212055446,FC0032,11.024315588332357,76.97382915056718,FC0014
ZL0062,11.024211773004248,76.98214212055446,FC0032,11.024315588332357,76.97382915056718,FC0014,11.01679566662291,76.97787618045352,FC0015
ZL0063,11.024211773004248,76.98214212055446,FC0032,11.01669137222082,76.98618934125977,DC009,11.01679566662291,76.97787618045352,FC0015
ZL0064,11.01669137222082,76.98618934125977,DC009,11.01679566662291,76.97787618045352,FC0015,11.009275315764043,76.98192320561057,FC0016
ZL0065,11.01669137222082,76.98618934125977,DC009,11.00917054239328,76.99023655715237,FC0033,11.009275315764043,76.98192320561057,FC0016
ZL0066,11.00917054239328,76.99023655715237,FC0033,11.009275315764043,76.98192320561057,FC0016,11.001754536091262,76.98597022599795,FC0017
ZL0067,11.00917054239328,76.99023655715237,FC0033,11.001649283857292,76.99428376819189,DC010,11.001754536091262,76.98597022599795,FC0017
ZL0068,11.001649283857292,76.99428376819189,DC010,10.994233327940297,76.99001724157532,FC0034,11.001754536091262,76.98597022599795,FC0017
ZL0069,10.994233327940297,76.99001724157532,FC0034,11.001754536091262,76.98597022599795,FC0017,10.99433882283123,76.98170431235015,FC0018
ZL0070,10.994233327940297,76.99001724157532,FC0034,10.9868176652817,76.98575113243933,DC011,10.99433882283123,76.98170431235015,FC0018
ZL0071,10.9868176652817,76.98575113243933,DC011,10.99433882283123,76.98170431235015,FC0018,10.986923402968293,76.97743881619498,FC0019
ZL0072,10.9868176652817,76.98575113243933,DC011,10.979402296236584,76.98148544077,FC0035,10.986923402968293,76.97743881619498,FC0019
ZL0073,10.979402296236584,76.98148544077,FC0035,10.986923402968293,76.97743881619498,FC0019,10.979508276857423,76.97317373751841,FC0020
ZL0074,10.979402296236584,76.98148544077,FC0035,10.971987221159928,76.97722016655334,DC012,10.979508276857423,76.97317373751841,FC0020
ZL0075,10.971987221159928,76.97722016655334,DC012,10.972093444853522,76.96890907630645,FC0036,10.979508276857423,76.97317373751841,FC0020
ZL0076,10.972093444853522,76.96890907630645,FC0036,10.979508276857423,76.97317373751841,FC0020,10.979614021743181,76.96486283819956,FC0021
ZL0077,10.972093444853522,76.96890907630645,FC0036,10.972199432964368,76.9605987900731,DC013,10.979614021743181,76.96486283819956,FC0021
ZL0078,10.972199432964368,76.9605987900731,DC013,10.979614021743181,76.96486283819956,FC0021,10.979719530954577,76.95655274304656,FC0022
ZL0079,10.972199432964368,76.9605987900731,DC013,10.972305185553168,76.95228930808628,FC0037,10.979719530954577,76.95655274304656,FC0022
ZL0080,10.972305185553168,76.95228930808628,FC0037,10.979719530954577,76.95655274304656,FC0022,10.979824804552381,76.94824345229217,FC0023
ZL0081,10.972305185553168,76.95228930808628,FC0037,10.9724107026806,76.94398063057871,DC014,10.979824804552381,76.94824345229217,FC0023
ZL0082,10.9724107026806,76.94398063057871,DC014,10.979929842597404,76.93993496616918,FC0038,10.979824804552381,76.94824345229217,FC0023
ZL0083,10.979929842597404,76.93993496616918,FC0038,10.979824804552381,76.94824345229217,FC0023,10.987343995447835,76.94419759206704,FC0024
ZL0084,10.979929842597404,76.93993496616918,FC0038,10.987448554305129,76.93588929741186,DC015,10.987343995447835,76.94419759206704,FC0024
ZL0085,10.987448554305129,76.93588929741186,DC015,10.987343995447835,76.94419759206704,FC0024,10.994862757904041,76.94015172745125,FC0025
ZL0086,10.987448554305129,76.93588929741186,DC015,10.994966837468406,76.93184362434714,FC0039,10.994862757904041,76.94015172745125,FC0025
ZL0087,10.994966837468406,76.93184362434714,FC0039,10.994862757904041,76.94015172745125,FC0025,11.002381091585649,76.9361058584851,FC0026
ZL0088,10.994966837468406,76.93184362434714,FC0039,11.002484691751992,76.92779794701536,DC016,11.002381091585649,76.9361058584851,FC0026
ZL0089,11.002484691751992,76.92779794701536,DC016,11.009898996157435,76.93205998520894,FC0040,11.002381091585649,76.9361058584851,FC0026
ZL0090,11.009898996157435,76.93205998520894,FC0040,11.002381091585649,76.9361058584851,FC0026,11.009795639576213,76.94036851020056,FC0027
ZL0091,11.009898996157435,76.93205998520894,FC0040,11.017313594219923,76.93632244100587,DC017,11.009795639576213,76.94036851020056,FC0027
ZL0092,11.017313594219923,76.93632244100587,DC017,11.009795639576213,76.94036851020056,FC0027,11.0172104810854,76.94463157950773,FC0028
ZL0093,11.017313594219923,76.93632244100587,DC017,11.024728485584733,76.9405853144203,FC0041,11.0172104810854,76.94463157950773,FC0028
ZL0094,11.024728485584733,76.9405853144203,FC0041,11.0172104810854,76.94463157950773,FC0028,11.024625615758364,76.94889506642073,FC0029
ZL0095,11.024728485584733,76.9405853144203,FC0041,11.032143669897021,76.94484860546645,DC018,11.024625615758364,76.94889506642073,FC0029
ZL0096,11.039661293900416,76.94080214011366,FC0071,11.039559146801837,76.94911231415841,FC0042,11.032143669897021,76.94484860546645,DC018
ZL0097,11.039559146801837,76.94911231415841,FC0042,11.032143669897021,76.94484860546645,DC018,11.032041043240222,76.95315897095374,FC0030
ZL0098,11.039559146801837,76.94911231415841,FC0042,11.039456763175894,76.95742329312087,FC0043,11.032041043240222,76.95315897095374,FC0030
ZL0099,11.039456763175894,76.95742329312087,FC0043,11.032041043240222,76.95315897095374,FC0030,11.031938180147264,76.96147014120655,DC007
ZL0100,11.039456763175894,76.95742329312087,FC0043,11.039354142961349,76.96573507676815,FC0044,11.031938180147264,76.96147014120655,DC007
ZL0101,11.039354142961349,76.96573507676815,FC0044,11.031938180147264,76.96147014120655,DC007,11.031835080556952,76.96978211599195,FC0031
ZL0102,11.039354142961349,76.96573507676815,FC0044,11.039251286096857,76.9740476648673,FC0045,11.031835080556952,76.96978211599195,FC0031
ZL0103,11.039251286096857,76.9740476648673,FC0045,11.031835080556952,76.96978211599195,FC0031,11.031731744408075,76.97809489507685,DC008
ZL0104,11.039251286096857,76.9740476648673,FC0045,11.039148192521232,76.98236105718509,FC0046,11.031731744408075,76.97809489507685,DC008
ZL0105,11.039148192521232,76.98236105718509,FC0046,11.031628171639488,76.98640847822801,FC0047,11.031731744408075,76.97809489507685,DC008
ZL0106,11.031628171639488,76.98640847822801,FC0047,11.031731744408075,76.97809489507685,DC008,11.024211773004248,76.98214212055446,FC0032
ZL0107,11.031628171639488,76.98640847822801,FC0047,11.024107721147924,76.99045589445556,FC0048,11.024211773004248,76.98214212055446,FC0032
ZL0108,11.024107721147924,76.99045589445556,FC0048,11.024211773004248,76.98214212055446,FC0032,11.01669137222082,76.98618934125977,DC009
ZL0109,11.024107721147924,76.99045589445556,FC0048,11.016586841382068,76.9945033058274,FC0049,11.01669137222082,76.98618934125977,DC009
ZL0110,11.016586841382068,76.9945033058274,FC0049,11.01669137222082,76.98618934125977,DC009,11.00917054239328,76.99023655715237,FC0033
ZL0111,11.016586841382068,76.9945033058274,FC0049,11.009065532677516,76.99855071230309,FC0050,11.00917054239328,76.99023655715237,FC0033
ZL0112,11.009065532677516,76.99855071230309,FC0050,11.00917054239328,76.99023655715237,FC0033,11.001649283857292,76.99428376819189,DC010
ZL0113,11.009065532677516,76.99855071230309,FC0050,11.001543795370019,77.00259811384225,FC0051,11.001649283857292,76.99428376819189,DC010
ZL0114,11.001543795370019,77.00259811384225,FC0051,10.994127596948598,76.99833097433797,FC0052,11.001649283857292,76.99428376819189,DC010
ZL0115,10.994127596948598,76.99833097433797,FC0052,11.001649283857292,76.99428376819189,DC010,10.994233327940297,76.99001724157532,FC0034
ZL0116,10.994127596948598,76.99833097433797,FC0052,10.986711691646851,76.99406425230225,FC0053,10.994233327940297,76.99001724157532,FC0034
ZL0117,10.986711691646851,76.99406425230225,FC0053,10.994233327940297,76.99001724157532,FC0034,10.9868176652817,76.98575113243933,DC011
ZL0118,10.986711691646851,76.99406425230225,FC0053,10.97929607981993,76.98979794772116,FC0054,10.9868176652817,76.98575113243933,DC011
ZL0119,10.97929607981993,76.98979794772116,FC0054,10.9868176652817,76.98575113243933,DC011,10.979402296236584,76.98148544077,FC0035
ZL0120,10.97929607981993,76.98979794772116,FC0054,10.971880761822925,76.98553206058071,FC0055,10.979402296236584,76.98148544077,FC0035
ZL0121,10.971880761822925,76.98553206058071,FC0055,10.979402296236584,76.98148544077,FC0035,10.971987221159928,76.97722016655334,DC012
ZL0122,10.971880761822925,76.98553206058071,FC0055,10.964465738010759,76.98126659086694,FC0056,10.971987221159928,76.97722016655334,DC012
ZL0123,10.964465738010759,76.98126659086694,FC0056,10.964572440406615,76.97295530977532,FC0057,10.971987221159928,76.97722016655334,DC012
ZL0124,10.964572440406615,76.97295530977532,FC0057,10.971987221159928,76.97722016655334,DC012,10.972093444853522,76.96890907630645,FC0036
ZL0125,10.964572440406615,76.97295530977532,FC0057,10.964678907311397,76.964644832545,FC0058,10.972093444853522,76.96890907630645,FC0036
ZL0126,10.964678907311397,76.964644832545,FC0058,10.972093444853522,76.96890907630645,FC0036,10.972199432964368,76.9605987900731,DC013
ZL0127,10.964678907311397,76.964644832545,FC0058,10.964785138785722,76.95633515940902,FC0059,10.972199432964368,76.9605987900731,DC013
ZL0128,10.964785138785722,76.95633515940902,FC0059,10.972199432964368,76.9605987900731,DC013,10.972305185553168,76.95228930808628,FC0037
ZL0129,10.964785138785722,76.95633515940902,FC0059,10.964891134890214,76.94802629060018,FC0060,10.972305185553168,76.95228930808628,FC0037
ZL0130,10.964891134890214,76.94802629060018,FC0060,10.972305185553168,76.95228930808628,FC0037,10.9724107026806,76.94398063057871,DC014
ZL0131,10.964891134890214,76.94802629060018,FC0060,10.964996895685552,76.93971822635113,FC0061,10.9724107026806,76.94398063057871,DC014
ZL0132,10.964996895685552,76.93971822635113,FC0061,10.972515984407424,76.93567275778297,FC0062,10.9724107026806,76.94398063057871,DC014
ZL0133,10.972515984407424,76.93567275778297,FC0062,10.9724107026806,76.94398063057871,DC014,10.979929842597404,76.93993496616918,FC0038
ZL0134,10.972515984407424,76.93567275778297,FC0062,10.980034645150404,76.93162728491,FC0063,10.979929842597404,76.93993496616918,FC0038
ZL0135,10.980034645150404,76.93162728491,FC0063,10.979929842597404,76.93993496616918,FC0038,10.987448554305129,76.93588929741186,DC015
ZL0136,10.980034645150404,76.93162728491,FC0063,10.987552877579118,76.92758180777251,FC0064,10.987448554305129,76.93588929741186,DC015
ZL0137,10.987552877579118,76.92758180777251,FC0064,10.987448554305129,76.93588929741186,DC015,10.994966837468406,76.93184362434714,FC0039
ZL0138,10.987552877579118,76.92758180777251,FC0064,10.99507068135825,76.92353632641085,FC0065,10.994966837468406,76.93184362434714,FC0039
ZL0139,10.99507068135825,76.92353632641085,FC0065,10.994966837468406,76.93184362434714,FC0039,11.002484691751992,76.92779794701536,DC016
ZL0140,10.99507068135825,76.92353632641085,FC0065,11.002588056152646,76.91949084086536,FC0066,11.002484691751992,76.92779794701536,DC016
ZL0141,11.002588056152646,76.91949084086536,FC0066,11.010002116820747,76.92375226545681,FC0067,11.002484691751992,76.92779794701536,DC016
ZL0142,11.010002116820747,76.92375226545681,FC0067,11.002484691751992,76.92779794701536,DC016,11.009898996157435,76.93205998520894,FC0040
ZL0143,11.010002116820747,76.92375226545681,FC0067,11.01741647128428,76.92801410766316,FC0068,11.009898996157435,76.93205998520894,FC0040
ZL0144,11.01741647128428,76.92801410766316,FC0068,11.009898996157435,76.93205998520894,FC0040,11.017313594219923,76.93632244100587,DC017
ZL0145,11.01741647128428,76.92801410766316,FC0068,11.024831119188596,76.93227636749859,FC0069,11.017313594219923,76.93632244100587,DC017
ZL0146,11.024831119188596,76.93227636749859,FC0069,11.017313594219923,76.93632244100587,DC017,11.024728485584733,76.9405853144203,FC0041
ZL0147,11.024831119188596,76.93227636749859,FC0069,11.032246060178917,76.93653904497737,FC0070,11.024728485584733,76.9405853144203,FC0041
ZL0148,11.032246060178917,76.93653904497737,FC0070,11.024728485584733,76.9405853144203,FC0041,11.032143669897021,76.94484860546645,DC018
ZL0149,11.032246060178917,76.93653904497737,FC0070,11.039661293900416,76.94080214011366,FC0071,11.032143669897021,76.94484860546645,DC018
ZL0150,11.047178487433603,76.93675567040276,DC036,11.047076819998102,76.94506565292164,FC0072,11.039661293900416,76.94080214011366,FC0071
ZL0151,11.047076819998102,76.94506565292164,FC0072,11.039661293900416,76.94080214011366,FC0071,11.039559146801837,76.94911231415841,FC0042
ZL0152,11.047076819998102,76.94506565292164,FC0072,11.046974915944133,76.95337644051038,DC019,11.039559146801837,76.94911231415841,FC0042
ZL0153,11.046974915944133,76.95337644051038,DC019,11.039559146801837,76.94911231415841,FC0042,11.039456763175894,76.95742329312087,FC0043
ZL0154,11.046974915944133,76.95337644051038,DC019,11.046872775210305,76.96168803293622,FC0073,11.039456763175894,76.95742329312087,FC0043
ZL0155,11.046872775210305,76.96168803293622,FC0073,11.039456763175894,76.95742329312087,FC0043,11.039354142961349,76.96573507676815,FC0044
ZL0156,11.046872775210305,76.96168803293622,FC0073,11.046770397735312,76.97000042996618,DC020,11.039354142961349,76.96573507676815,FC0044
ZL0157,11.046770397735312,76.97000042996618,DC020,11.039354142961349,76.96573507676815,FC0044,11.039251286096857,76.9740476648673,FC0045
ZL0158,11.046770397735312,76.97000042996618,DC020,11.046667783457778,76.97831363136717,FC0074,11.039251286096857,76.9740476648673,FC0045
ZL0159,11.046667783457778,76.97831363136717,FC0074,11.039251286096857,76.9740476648673,FC0045,11.039148192521232,76.98236105718509,FC0046
ZL0160,11.046667783457778,76.97831363136717,FC0074,11.04656493231648,76.98662763690587,DC021,11.039148192521232,76.98236105718509,FC0046
